,feature,id,metric_accuracy_score,metric_auc,metric_confusion_matrix,metric_f1_score,metric_log_loss,metric_matthews_corrcoef,metric_precision_score,metric_recall_score,metric_roc_auc_score,metric_roc_curve,model,noise,params,path,time_to_build_and_train_model,time_to_build_feature,time_to_make_prediction
222,DecreasingFactor,c1f57363-8707-416b-9678-b9810dcb6f09,0.9606029742243236,22979.5,"[[ 18676  10333] [  6532 392537]]",0.978969722135973,1.3607443646728286,0.6698930191186601,0.9743515277881203,0.9836319032548256,0.813716051596388,"(array([0.       , 0.3561998, 1.       ]), array([0.       , 0.9836319, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.65},BPI_17.csv,0.0009541511535644531,0.6261248588562012,0.014224052429199219
223,DecreasingFactor,fa0db53c-29ae-4646-acd1-989bd51700cf,0.9606029742243236,22979.5,"[[ 18676  10333] [  6532 392537]]",0.978969722135973,1.3607443646728286,0.6698930191186601,0.9743515277881203,0.9836319032548256,0.813716051596388,"(array([0.       , 0.3561998, 1.       ]), array([0.       , 0.9836319, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.7},BPI_17.csv,0.0012149810791015625,0.6203598976135254,0.020476818084716797
224,DecreasingFactor,83111777-5c2d-48e3-abb9-c526c2c1768f,0.11141979444782335,15636.0,"[[ 25160 344746] [    48  18074]]",0.09489108578208758,30.69118343604716,0.05596324680183929,0.04981533542803594,0.9973512857300518,0.5326842828978992,"(array([0.        , 0.93198272, 1.        ]), array([0.        , 0.99735129, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.4},BPI_17.csv,0.0018198490142822266,0.5876710414886475,0.03150582313537598
225,DecreasingFactor,be18d6a7-2200-4b41-974a-934ef44513ec,0.9556964961291453,20803.5,"[[ 17159   9142] [  8049 353678]]",0.9762734508596406,1.530207652346265,0.6427034035921891,0.9748029325836503,0.9777484124768127,0.8150785330700858,"(array([0.        , 0.34759135, 1.        ]), array([0.        , 0.97774841, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.45},BPI_17.csv,0.0010361671447753906,0.5172147750854492,0.014147043228149414
226,DecreasingFactor,b7186c9a-be77-494a-87ed-26d12a787d0a,0.9556964961291453,20803.5,"[[ 17159   9142] [  8049 353678]]",0.9762734508596406,1.530207652346265,0.6427034035921891,0.9748029325836503,0.9777484124768127,0.8150785330700858,"(array([0.        , 0.34759135, 1.        ]), array([0.        , 0.97774841, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.5},BPI_17.csv,0.001069784164428711,0.44277310371398926,0.012880325317382812
227,DecreasingFactor,47b1e49d-c822-46b2-90c8-9bdde2073892,0.9556964961291453,20803.5,"[[ 17159   9142] [  8049 353678]]",0.9762734508596406,1.530207652346265,0.6427034035921891,0.9748029325836503,0.9777484124768127,0.8150785330700858,"(array([0.        , 0.34759135, 1.        ]), array([0.        , 0.97774841, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.55},BPI_17.csv,0.0009648799896240234,0.5487289428710938,0.013473987579345703
228,DecreasingFactor,13893091-e948-4174-aa49-d596284b0d71,0.9556964961291453,20803.5,"[[ 17159   9142] [  8049 353678]]",0.9762734508596406,1.530207652346265,0.6427034035921891,0.9748029325836503,0.9777484124768127,0.8150785330700858,"(array([0.        , 0.34759135, 1.        ]), array([0.        , 0.97774841, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.6},BPI_17.csv,0.0010750293731689453,0.5506858825683594,0.0136260986328125
229,DecreasingFactor,a807108f-3b8a-41d8-ae78-2139145cf03f,0.9556964961291453,20803.5,"[[ 17159   9142] [  8049 353678]]",0.9762734508596406,1.530207652346265,0.6427034035921891,0.9748029325836503,0.9777484124768127,0.8150785330700858,"(array([0.        , 0.34759135, 1.        ]), array([0.        , 0.97774841, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.65},BPI_17.csv,0.0010089874267578125,0.706718921661377,0.012388944625854492
230,DecreasingFactor,a224a912-c17e-4a0b-8325-3326659c1d55,0.9556964961291453,20803.5,"[[ 17159   9142] [  8049 353678]]",0.9762734508596406,1.530207652346265,0.6427034035921891,0.9748029325836503,0.9777484124768127,0.8150785330700858,"(array([0.        , 0.34759135, 1.        ]), array([0.        , 0.97774841, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.7},BPI_17.csv,0.0009589195251464844,0.4346146583557129,0.012855052947998047
231,DecreasingFactor,c657d164-1663-473d-bda3-b62ebe5235df,0.9841285836650375,1607.0,"[[  820   787] [  788 96840]]",0.9919336252592763,0.5481856412068522,0.502042515841183,0.9919387054810657,0.9919285450895236,0.7510980622149547,"(array([0.        , 0.48973242, 1.        ]), array([0.        , 0.99192855, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.4},BPI_18.csv,0.0015730857849121094,0.20434308052062988,0.003725767135620117
232,DecreasingFactor,b4b594f5-94f3-4a2e-90ec-3048e9cf8f5e,0.9841285836650375,1607.0,"[[  820   787] [  788 96840]]",0.9919336252592763,0.5481856412068522,0.502042515841183,0.9919387054810657,0.9919285450895236,0.7510980622149547,"(array([0.        , 0.48973242, 1.        ]), array([0.        , 0.99192855, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.45},BPI_18.csv,0.0017790794372558594,0.12498998641967773,0.002986907958984375
233,DecreasingFactor,7ee1475a-93da-4fcc-8789-c6e91f48aaaa,0.9841285836650375,1607.0,"[[  820   787] [  788 96840]]",0.9919336252592763,0.5481856412068522,0.502042515841183,0.9919387054810657,0.9919285450895236,0.7510980622149547,"(array([0.        , 0.48973242, 1.        ]), array([0.        , 0.99192855, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.5},BPI_18.csv,0.0008711814880371094,0.1562488079071045,0.002239227294921875
234,DecreasingFactor,d85d3166-ab32-4fb3-bb2c-b2fb8c0aba86,0.9841285836650375,1607.0,"[[  820   787] [  788 96840]]",0.9919336252592763,0.5481856412068522,0.502042515841183,0.9919387054810657,0.9919285450895236,0.7510980622149547,"(array([0.        , 0.48973242, 1.        ]), array([0.        , 0.99192855, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.55},BPI_18.csv,0.0008349418640136719,0.11239409446716309,0.0022521018981933594
235,DecreasingFactor,86fc9ca7-3f61-482f-9b0b-7971de05fd29,0.9841285836650375,1607.0,"[[  820   787] [  788 96840]]",0.9919336252592763,0.5481856412068522,0.502042515841183,0.9919387054810657,0.9919285450895236,0.7510980622149547,"(array([0.        , 0.48973242, 1.        ]), array([0.        , 0.99192855, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.6},BPI_18.csv,0.0008509159088134766,0.13240408897399902,0.002397775650024414
236,DecreasingFactor,acad2f8f-4399-4862-92b0-fb3fe2bd8e89,0.9841285836650375,1607.0,"[[  820   787] [  788 96840]]",0.9919336252592763,0.5481856412068522,0.502042515841183,0.9919387054810657,0.9919285450895236,0.7510980622149547,"(array([0.        , 0.48973242, 1.        ]), array([0.        , 0.99192855, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.65},BPI_18.csv,0.0008611679077148438,0.12655901908874512,0.002081155776977539
237,DecreasingFactor,8cbfd7a8-d486-47d1-b88f-ce02975e4819,0.9841285836650375,1607.0,"[[  820   787] [  788 96840]]",0.9919336252592763,0.5481856412068522,0.502042515841183,0.9919387054810657,0.9919285450895236,0.7510980622149547,"(array([0.        , 0.48973242, 1.        ]), array([0.        , 0.99192855, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.7},BPI_18.csv,0.00101470947265625,0.15370821952819824,0.0023810863494873047
238,DecreasingFactor,02da10f4-4896-498b-97d6-f711341d46c1,0.9840735779603632,1536.0,"[[  740   796] [  714 92561]]",0.9919092117107462,0.5500858427383917,0.4870877937654848,0.9914735906252343,0.9923452157598499,0.7370580245465916,"(array([0.        , 0.51822917, 1.        ]), array([0.        , 0.99234522, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.4},BPI_18.csv,0.0007009506225585938,0.10840010643005371,0.002160787582397461
239,DecreasingFactor,92fcdd35-6b0c-4bb0-999a-c28449cd0c71,0.9840735779603632,1536.0,"[[  740   796] [  714 92561]]",0.9919092117107462,0.5500858427383917,0.4870877937654848,0.9914735906252343,0.9923452157598499,0.7370580245465916,"(array([0.        , 0.51822917, 1.        ]), array([0.        , 0.99234522, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.45},BPI_18.csv,0.00145721435546875,0.1564788818359375,0.003084897994995117
240,DecreasingFactor,a0f4e9d4-0db9-41d1-9d65-f9ae43afbe0d,0.9840735779603632,1536.0,"[[  740   796] [  714 92561]]",0.9919092117107462,0.5500858427383917,0.4870877937654848,0.9914735906252343,0.9923452157598499,0.7370580245465916,"(array([0.        , 0.51822917, 1.        ]), array([0.        , 0.99234522, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.5},BPI_18.csv,0.0015299320220947266,0.14931106567382812,0.003939151763916016
241,DecreasingFactor,70f1bd91-d5cb-4007-8243-596abfa5e557,0.9840735779603632,1536.0,"[[  740   796] [  714 92561]]",0.9919092117107462,0.5500858427383917,0.4870877937654848,0.9914735906252343,0.9923452157598499,0.7370580245465916,"(array([0.        , 0.51822917, 1.        ]), array([0.        , 0.99234522, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.55},BPI_18.csv,0.0007660388946533203,0.17264103889465332,0.002112150192260742
242,DecreasingFactor,9ad53216-1571-40e8-9ff5-1c42f719b30f,0.9840735779603632,1536.0,"[[  740   796] [  714 92561]]",0.9919092117107462,0.5500858427383917,0.4870877937654848,0.9914735906252343,0.9923452157598499,0.7370580245465916,"(array([0.        , 0.51822917, 1.        ]), array([0.        , 0.99234522, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.6},BPI_18.csv,0.0009272098541259766,0.22480201721191406,0.002541065216064453
243,DecreasingFactor,d328254c-1f2a-4965-9526-00506053503d,0.9840735779603632,1536.0,"[[  740   796] [  714 92561]]",0.9919092117107462,0.5500858427383917,0.4870877937654848,0.9914735906252343,0.9923452157598499,0.7370580245465916,"(array([0.        , 0.51822917, 1.        ]), array([0.        , 0.99234522, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.65},BPI_18.csv,0.0013470649719238281,0.1409149169921875,0.0030548572540283203
244,DecreasingFactor,e76de8f6-48f4-436c-ba89-27e972b6e36d,0.9840735779603632,1536.0,"[[  740   796] [  714 92561]]",0.9919092117107462,0.5500858427383917,0.4870877937654848,0.9914735906252343,0.9923452157598499,0.7370580245465916,"(array([0.        , 0.51822917, 1.        ]), array([0.        , 0.99234522, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.7},BPI_18.csv,0.0009241104125976562,0.13630008697509766,0.002088785171508789
